x	y
9360.000005	7200000.000000
9420.000002	7240000.000000
9479.000004	7270000.000000
9540.000005	7300000.000000
9600.000001	7340000.000000
9659.000003	7370000.000000
9720.000004	7400000.000000
9780.000000	7440000.000000
9839.000002	7470000.000000
9900.000003	7510000.000000
9960.000000	7550000.000000
10019.000002	7580000.000000
10080.000003	7610000.000000
10139.999999	7640000.000000
10199.000001	7670000.000000
10260.000002	7690000.000000
10319.999998	7730000.000000
10379.000000	7750000.000000
10440.000001	7790000.000000
10499.000003	7810000.000000
10559.000000	7830000.000000
10620.000001	7860000.000000
10679.000003	7910000.000000
10738.999999	7940000.000000
10800.000000	7960000.000000
10859.000002	7980000.000000
10918.999998	7990000.000000
10979.999999	8020000.000000
11039.000001	8030000.000000
11098.999998	8040000.000000
11159.999999	8060000.000000
11219.000001	8080000.000000
11278.999997	8100000.000000
11339.999998	8110000.000000
11399.000000	8120000.000000
11460.000001	8140000.000000
11519.999997	8150000.000000
11578.999999	8160000.000000
11640.000000	8180000.000000
11699.999997	8200000.000000
11758.999998	8200000.000000
11820.000000	8240000.000000
11880.000006	8270000.000000
11938.999998	8280000.000000
11999.999999	8300000.000000
12060.000005	8320000.000000
12118.999997	8330000.000000
12179.999998	8350000.000000
12240.000005	8330000.000000
12299.000007	8350000.000000
12359.999998	8360000.000000
12420.000004	8370000.000000
12479.000006	8390000.000000
12539.999997	8410000.000000
12598.999999	8420000.000000
12659.000005	8430000.000000
12720.000006	8450000.000000
12778.999998	8460000.000000
12839.000005	8470000.000000
12900.000006	8480000.000000
12958.999997	8500000.000000
13019.000004	8510000.000000
13080.000005	8520000.000000
13138.999997	8530000.000000
13199.000003	8540000.000000
13260.000004	8550000.000000
13319.000006	8560000.000000
13379.000003	8570000.000000
13440.000004	8580000.000000
13499.000005	8590000.000000
13560.000006	8560000.000000
13620.000003	8570000.000000
13679.000005	8580000.000000
13740.000006	8590000.000000
13800.000002	8600000.000000
13859.000004	8610000.000000
13920.000005	8620000.000000
13980.000002	8620000.000000
14039.000003	8630000.000000
14100.000004	8640000.000000
14160.000001	8650000.000000
14219.000003	8670000.000000
14280.000004	8690000.000000
14340.000000	8700000.000000
14399.000002	8710000.000000
14460.000003	8840000.000000
14519.000005	9010000.000000
14579.000001	9130000.000000
14640.000002	9240000.000000
14699.000004	9320000.000000
14759.000001	9380000.000000
14820.000002	9460000.000000
14879.000004	9540000.000000
14939.000000	9590000.000000
15000.000001	9670000.000000
15059.000003	9720000.000000
15118.999999	9770000.000000
15180.000000	9830000.000000
15239.000002	9870000.000000
15298.999999	9900000.000000
15360.000000	9950000.000000
15419.000002	9970000.000000
15478.999998	9990000.000000
15539.999999	10030000.000000
15599.000001	10060000.000000
15660.000002	10090000.000000
15719.999998	10110000.000000
15779.000000	10130000.000000
15840.000001	10160000.000000
15899.999998	10160000.000000
15959.000000	10120000.000000
16020.000001	10120000.000000
16079.999997	10150000.000000
16138.999999	10170000.000000
16200.000000	10190000.000000
16260.000006	10210000.000000
16318.999998	10240000.000000
16379.999999	10260000.000000
16440.000006	10270000.000000
16498.999998	10290000.000000
16559.999999	10310000.000000
16620.000005	10320000.000000
16678.999997	10330000.000000
16739.999998	10350000.000000
16799.000000	10360000.000000
16859.000006	10370000.000000
16919.999997	10390000.000000
16978.999999	10400000.000000
17039.000006	10420000.000000
17099.999997	10430000.000000
17158.999998	10440000.000000
17219.000005	10450000.000000
17280.000006	10460000.000000
17338.999998	10470000.000000
17399.000004	10470000.000000
17460.000005	10480000.000000
17518.999997	10470000.000000
17579.000004	10470000.000000
17640.000005	10460000.000000
17699.000007	10470000.000000
17759.999998	10490000.000000
17820.000004	10490000.000000
17879.000006	10490000.000000
17939.999997	10500000.000000
18000.000003	10490000.000000
18059.000005	10490000.000000
18120.000006	10500000.000000
18180.000003	10500000.000000
18239.000005	10510000.000000
18300.000006	10510000.000000
18360.000002	10510000.000000
18419.000004	10510000.000000
18480.000005	10510000.000000
18540.000001	10510000.000000
18599.000003	10520000.000000
18660.000004	10520000.000000
18720.000001	10540000.000000
18779.000003	10540000.000000
18840.000004	10550000.000000
18900.000000	10550000.000000
18959.000002	10550000.000000
19020.000003	10550000.000000
19079.999999	10550000.000000
19139.000001	10550000.000000
19200.000002	10560000.000000
19259.999999	10560000.000000
19319.000001	10550000.000000
19380.000002	10560000.000000
19439.999998	10560000.000000
19499.000000	10560000.000000
19560.000001	10540000.000000
19619.999997	10540000.000000
19678.999999	10530000.000000
19740.000000	10520000.000000
19799.000002	10520000.000000
19858.999998	10530000.000000
19920.000000	10530000.000000
19979.000001	10540000.000000
20038.999998	10550000.000000
20099.999999	10550000.000000
20159.000001	10550000.000000
20218.999997	10560000.000000
20279.999998	10560000.000000
20339.000000	10560000.000000
20399.000007	10560000.000000
20459.999998	10560000.000000
20518.999999	10560000.000000
20579.000006	10560000.000000
20639.999997	10560000.000000
20698.999999	10560000.000000
20760.000000	10560000.000000
20820.000006	10560000.000000
20878.999998	10550000.000000
20939.000005	10510000.000000
21000.000006	10490000.000000
21058.999997	10490000.000000
21119.000004	10490000.000000
21180.000005	10500000.000000
21238.999997	10490000.000000
21299.000003	10490000.000000
21360.000004	10500000.000000
21419.000006	10490000.000000
21479.999997	10480000.000000
21540.000004	10430000.000000
21599.000005	10400000.000000
21660.000006	10410000.000000
21720.000003	10380000.000000
21779.000005	10450000.000000
21840.000006	10580000.000000
21900.000002	10660000.000000
21959.000004	10710000.000000
22020.000005	10750000.000000
22080.000002	10760000.000000
22139.000003	10780000.000000
22200.000004	10810000.000000
22260.000001	10840000.000000
22319.000003	10860000.000000
22380.000004	10870000.000000
22440.000000	10900000.000000
22499.000002	10910000.000000
22560.000003	10910000.000000
22619.000005	10920000.000000
22679.000001	10910000.000000
22740.000002	10910000.000000
22799.000004	10900000.000000
22859.000001	10900000.000000
22920.000002	10890000.000000
22979.000004	10900000.000000
23039.000000	10900000.000000
23100.000001	10910000.000000
23159.000003	10920000.000000
23218.999999	10910000.000000
23280.000000	10900000.000000
23339.000002	10900000.000000
23398.999999	10910000.000000
23460.000000	10910000.000000
23519.000002	10920000.000000
23580.000003	10920000.000000
23639.999999	10920000.000000
23699.000001	10920000.000000
23760.000002	10930000.000000
23819.999998	10930000.000000
23879.000000	10930000.000000
23940.000001	10940000.000000
23999.999998	10940000.000000
24059.000000	10950000.000000
24120.000001	10950000.000000
24179.999997	10950000.000000
24238.999999	10930000.000000
24300.000000	10930000.000000
24360.000006	10920000.000000
24418.999998	10840000.000000
24479.999999	10830000.000000
24540.000006	10830000.000000
24598.999998	10830000.000000
24659.999999	10830000.000000
24719.000001	10830000.000000
24778.999997	10830000.000000
24839.999998	10830000.000000
